step,capsule_payload_bytes,capsule_scalar_values_sent,contact_threshold_rx_power_dbm,contact_threshold_snr_db,expert_bank_manifest_records,expert_bank_model_messages,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_parameter_values_pulled,model_payload_bytes,model_transfer_snr_min_db,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,weighted_single_model_pulls
1,0,0,-100.0,0.0,0,0,628,314,0,0.0,0.0,0,1.0,0,0,0.0,-100.0,123.0,-100.0,0.0,0
2,12532512,3133128,-100.0,0.0,675,675,698,349,12276900,12.2769,12.2769,675,1.0,3067875,12271500,0.0,-100.0,123.0,-100.0,0.0,675
3,58994256,14748564,-100.0,0.0,745,745,786,393,13550060,25.82696,13.55006,745,1.0,3386025,13544100,0.0,-100.0,123.0,-100.0,0.0,745
4,79159168,19789792,-100.0,0.0,774,774,796,398,14077512,39.904472,14.077512,774,1.0,3517830,14071320,0.0,-100.0,123.0,-100.0,0.0,774
5,100748888,25187222,-100.0,0.0,856,856,856,428,15568928,55.4734,15.568928,856,1.0,3890520,15562080,0.0,-100.0,123.0,-100.0,0.0,856
6,106367432,26591858,-100.0,0.0,854,854,876,438,15532552,71.005952,15.532552,854,1.0,3881430,15525720,0.0,-100.0,123.0,-100.0,0.0,854
7,119272720,29818180,-100.0,0.0,852,852,852,426,15496176,86.502128,15.496176,852,1.0,3872340,15489360,0.0,-100.0,123.0,-100.0,0.0,852
8,131820904,32955226,-100.0,0.0,874,874,894,447,15896312,102.39844,15.896312,874,1.0,3972330,15889320,0.0,-100.0,123.0,-100.0,0.0,874
9,140902544,35225636,-100.0,0.0,892,892,918,459,16223696,118.622136,16.223696,892,1.0,4054140,16216560,0.0,-100.0,123.0,-100.0,0.0,892
10,133196120,33299030,-100.0,0.0,803,803,806,403,14604964,133.2271,14.604964,803,1.0,3649635,14598540,0.0,-100.0,123.0,-100.0,0.0,803
11,142892896,35723224,-100.0,0.0,832,832,832,416,15132416,148.359516,15.132416,832,1.0,3781440,15125760,0.0,-100.0,123.0,-100.0,0.0,832
12,134982280,33745570,-100.0,0.0,766,766,766,383,13932008,162.291524,13.932008,766,1.0,3481470,13925880,0.0,-100.0,123.0,-100.0,0.0,766
13,134435944,33608986,-100.0,0.0,744,744,744,372,13531872,175.823396,13.531872,744,1.0,3381480,13525920,0.0,-100.0,123.0,-100.0,0.0,744
14,120632640,30158160,-100.0,0.0,650,650,650,325,11822200,187.645596,11.8222,650,1.0,2954250,11817000,0.0,-100.0,123.0,-100.0,0.0,650
15,118956736,29739184,-100.0,0.0,626,626,650,325,11385688,199.031284,11.385688,626,1.0,2845170,11380680,0.0,-100.0,123.0,-100.0,0.0,626
16,126917304,31729326,-100.0,0.0,653,653,670,335,11876764,210.908048,11.876764,653,1.0,2967885,11871540,0.0,-100.0,123.0,-100.0,0.0,653
17,140099464,35024866,-100.0,0.0,704,704,722,361,12804352,223.7124,12.804352,704,1.0,3199680,12798720,0.0,-100.0,123.0,-100.0,0.0,704
18,141731768,35432942,-100.0,0.0,680,680,686,343,12367840,236.08024,12.36784,680,1.0,3090600,12362400,0.0,-100.0,123.0,-100.0,0.0,680
19,152120432,38030108,-100.0,0.0,695,695,702,351,12640660,248.7209,12.64066,695,1.0,3158775,12635100,0.0,-100.0,123.0,-100.0,0.0,695
20,151983528,37995882,-100.0,0.0,677,677,680,340,12313276,261.034176,12.313276,677,1.0,3076965,12307860,0.0,-100.0,123.0,-100.0,0.0,677
21,160887712,40221928,-100.0,0.0,696,696,696,348,12658848,273.693024,12.658848,696,1.0,3163320,12653280,0.0,-100.0,123.0,-100.0,0.0,696
22,170423792,42605948,-100.0,0.0,729,729,748,374,13259052,286.952076,13.259052,729,1.0,3313305,13253220,0.0,-100.0,123.0,-100.0,0.0,729
23,183694408,45923602,-100.0,0.0,770,770,770,385,14004760,300.956836,14.00476,770,1.0,3499650,13998600,0.0,-100.0,123.0,-100.0,0.0,770
24,197589112,49397278,-100.0,0.0,807,807,826,413,14677716,315.634552,14.677716,807,1.0,3667815,14671260,0.0,-100.0,123.0,-100.0,0.0,807
25,218325912,54581478,-100.0,0.0,871,871,894,447,15841748,331.4763,15.841748,871,1.0,3958695,15834780,0.0,-100.0,123.0,-100.0,0.0,871
26,235582976,58895744,-100.0,0.0,914,914,914,457,16623832,348.100132,16.623832,914,1.0,4154130,16616520,0.0,-100.0,123.0,-100.0,0.0,914
