step,zone,n_links,mean_rssi_dbm,min_rssi_dbm,max_rssi_dbm,mean_propagation_loss_db,min_propagation_loss_db,max_propagation_loss_db
1,0,628,-58.15799163405303,-91.57872772216797,-29.390966415405273,81.15799163405303,52.39096641540527,114.57872772216797
2,0,698,-57.898390679782985,-87.36637878417969,-29.405200958251953,80.89839067978298,52.40520095825195,110.36637878417969
3,0,787,-58.047683868505146,-89.22603607177734,-29.40520477294922,81.04768386850515,52.40520477294922,112.22603607177734
4,0,798,-57.47176536760832,-88.96161651611328,-29.40520477294922,80.47176536760833,52.40520477294922,111.96161651611328
5,0,858,-57.94770393282661,-95.24053955078125,-29.405202865600586,80.94770393282661,52.405202865600586,118.24053955078125
6,0,878,-58.04724331597261,-95.38697814941406,-29.40520477294922,81.04724331597261,52.40520477294922,118.38697814941406
7,0,853,-58.17499709939901,-94.40579986572266,-29.40520477294922,81.17499709939901,52.40520477294922,117.40579986572266
8,0,896,-57.74682999508722,-94.66441345214844,-29.40520477294922,80.74682999508721,52.40520477294922,117.66441345214844
9,0,925,-58.0248657927642,-94.5819091796875,-29.405200958251953,81.0248657927642,52.40520095825195,117.5819091796875
10,0,806,-56.13574882299078,-93.99778747558594,-28.98112678527832,79.13574882299078,51.98112678527832,116.99778747558594
11,0,834,-56.81261135577012,-92.06001281738281,-28.7294979095459,79.81261135577012,51.7294979095459,115.06001281738281
12,0,767,-56.72383044067542,-92.24286651611328,-28.684354782104492,79.72383044067541,51.68435478210449,115.24286651611328
13,0,746,-56.36253744283886,-91.36177825927734,-28.662885665893555,79.36253744283886,51.662885665893555,114.36177825927734
14,0,653,-54.789054581436226,-90.0015869140625,-28.662885665893555,77.78905458143623,51.662885665893555,113.0015869140625
15,0,657,-55.26462322101564,-90.67282104492188,-28.418169021606445,78.26462322101564,51.418169021606445,113.67282104492188
16,0,675,-55.79993953563549,-93.21927642822266,-28.418167114257812,78.79993953563549,51.41816711425781,116.21927642822266
17,0,726,-56.57786140757159,-91.99101257324219,-28.418167114257812,79.57786140757159,51.41816711425781,114.99101257324219
18,0,689,-55.97768937762832,-93.1003189086914,-28.418167114257812,78.97768937762832,51.41816711425781,116.1003189086914
19,0,704,-55.53779512643814,-92.35106658935547,-28.418167114257812,78.53779512643814,51.41816711425781,115.35106658935547
20,0,683,-55.14830955684098,-89.14682006835938,-28.418167114257812,78.14830955684099,51.41816711425781,112.14682006835938
21,0,700,-54.82623041970389,-95.06085205078125,-28.418169021606445,77.82623041970389,51.418169021606445,118.06085205078125
22,0,751,-55.54708405912478,-89.48273468017578,-28.418167114257812,78.54708405912478,51.41816711425781,112.48273468017578
23,0,781,-56.383288125833076,-92.16632080078125,-28.418167114257812,79.38328812583308,51.41816711425781,115.16632080078125
24,0,832,-56.50901241027392,-92.052978515625,-28.418167114257812,79.50901241027393,51.41816711425781,115.052978515625
25,0,897,-56.52583135649512,-92.50032043457031,-28.66217041015625,79.52583135649512,51.66217041015625,115.50032043457031
26,0,923,-56.523159169685805,-92.45919799804688,-28.662172317504883,79.52315916968581,51.66217231750488,115.45919799804688
27,0,922,-56.024863987837854,-91.04324340820312,-28.66217041015625,79.02486398783785,51.66217041015625,114.04324340820312
28,0,960,-55.92019516626994,-90.59556579589844,-28.66217041015625,78.92019516626993,51.66217041015625,113.59556579589844
29,0,962,-55.750958024340214,-95.32987213134766,-28.66217041015625,78.7509580243402,51.66217041015625,118.32987213134766
30,0,1010,-56.3354092380788,-92.03128814697266,-29.76662826538086,79.3354092380788,52.76662826538086,115.03128814697266
31,0,977,-55.32925145238058,-94.22222137451172,-29.910369873046875,78.32925145238059,52.910369873046875,117.22222137451172
32,0,915,-54.49188171553482,-93.95729064941406,-30.11077308654785,77.49188171553482,53.11077308654785,116.95729064941406
33,0,930,-55.067106207980906,-91.30533599853516,-30.11077308654785,78.06710620798091,53.11077308654785,114.30533599853516
34,0,871,-54.01861294594205,-94.15814971923828,-30.11077308654785,77.01861294594205,53.11077308654785,117.15814971923828
35,0,891,-55.54312339722776,-95.3093490600586,-30.11077308654785,78.54312339722776,53.11077308654785,118.3093490600586
36,0,894,-56.64829564574581,-94.10051727294922,-30.11077308654785,79.6482956457458,53.11077308654785,117.10051727294922
37,0,932,-57.263235223139816,-92.19588470458984,-30.11077308654785,80.26323522313982,53.11077308654785,115.19588470458984
38,0,931,-56.17465743035174,-92.65601348876953,-30.11077308654785,79.17465743035174,53.11077308654785,115.65601348876953
39,0,1036,-56.54249206565061,-92.59024047851562,-30.11077308654785,79.5424920656506,53.11077308654785,115.59024047851562
40,0,1071,-56.58012708028158,-94.80104064941406,-30.11077308654785,79.58012708028158,53.11077308654785,117.80104064941406
41,0,1071,-56.20663343869449,-94.80104064941406,-30.11077308654785,79.2066334386945,53.11077308654785,117.80104064941406
42,0,1166,-56.92584291166957,-94.80104064941406,-29.484764099121094,79.92584291166958,52.484764099121094,117.80104064941406
43,0,1177,-57.106112489076416,-94.80104064941406,-29.41895294189453,80.10611248907642,52.41895294189453,117.80104064941406
44,0,1243,-57.27305949204216,-94.80104064941406,-29.121870040893555,80.27305949204217,52.121870040893555,117.80104064941406
45,0,1181,-56.42781085305856,-94.80104064941406,-28.97794532775879,79.42781085305856,51.97794532775879,117.80104064941406
46,0,1229,-56.79928417376525,-94.80104064941406,-29.016544342041016,79.79928417376524,52.016544342041016,117.80104064941406
47,0,1317,-57.1301166632905,-94.80104064941406,-28.92210578918457,80.1301166632905,51.92210578918457,117.80104064941406
48,0,1288,-56.24960623320585,-94.80104064941406,-28.86240577697754,79.24960623320585,51.86240577697754,117.80104064941406
49,0,1236,-55.62965706636991,-95.97637939453125,-28.884416580200195,78.6296570663699,51.884416580200195,118.97637939453125
50,0,1319,-55.9299191307895,-94.80104064941406,-28.883617401123047,78.9299191307895,51.88361740112305,117.80104064941406
51,0,1345,-55.957607818092995,-94.80104064941406,-28.882890701293945,78.957607818093,51.882890701293945,117.80104064941406
52,0,1385,-56.08444056046138,-94.80104064941406,-28.882892608642578,79.08444056046139,51.88289260864258,117.80104064941406
53,0,1361,-55.518086415892746,-94.80104064941406,-28.882892608642578,78.51808641589275,51.88289260864258,117.80104064941406
54,0,1384,-55.8474548138635,-94.80104064941406,-28.882892608642578,78.8474548138635,51.88289260864258,117.80104064941406
55,0,1393,-55.710730501326914,-94.80104064941406,-28.8831787109375,78.7107305013269,51.8831787109375,117.80104064941406
56,0,1391,-55.54320115857978,-94.80104064941406,-28.8831787109375,78.54320115857978,51.8831787109375,117.80104064941406
57,0,1381,-55.30041981364919,-94.80104064941406,-28.882892608642578,78.3004198136492,51.88289260864258,117.80104064941406
58,0,1365,-54.765877422570306,-94.80104064941406,-28.882892608642578,77.7658774225703,51.88289260864258,117.80104064941406
59,0,1356,-55.145613581733365,-94.80104064941406,-28.882892608642578,78.14561358173336,51.88289260864258,117.80104064941406
60,0,1328,-54.285821937652955,-94.80104064941406,-28.882892608642578,77.28582193765295,51.88289260864258,117.80104064941406
61,0,1342,-54.21933058725917,-94.80104064941406,-28.882892608642578,77.21933058725918,51.88289260864258,117.80104064941406
62,0,1360,-54.45729488344754,-94.76130676269531,-28.882892608642578,77.45729488344753,51.88289260864258,117.76130676269531
63,0,1354,-54.41105883019361,-94.6630859375,-28.86463165283203,77.41105883019361,51.86463165283203,117.6630859375
64,0,1376,-54.559885952361796,-92.2097396850586,-29.222700119018555,77.5598859523618,52.222700119018555,115.2097396850586
65,0,1383,-54.24393705725239,-91.71952819824219,-29.15009880065918,77.2439370572524,52.15009880065918,114.71952819824219
66,0,1456,-55.42083644080948,-93.47821044921875,-29.02279281616211,78.42083644080948,52.02279281616211,116.47821044921875
67,0,1488,-56.18908978405819,-92.13238525390625,-28.75307846069336,79.18908978405818,51.75307846069336,115.13238525390625
68,0,1419,-57.02245900461252,-98.78221893310547,-28.856136322021484,80.02245900461253,51.856136322021484,121.78221893310547
69,0,1322,-57.64398600221943,-92.1874008178711,-30.076793670654297,80.64398600221944,53.0767936706543,115.1874008178711
70,0,1123,-58.45561755987967,-93.83802795410156,-30.117198944091797,81.45561755987967,53.1171989440918,116.83802795410156
71,0,1026,-58.359898223282066,-94.00232696533203,-29.791748046875,81.35989822328207,52.791748046875,117.00232696533203
72,0,971,-58.44382226945934,-94.98149108886719,-30.142528533935547,81.44382226945933,53.14252853393555,117.98149108886719
73,0,865,-58.659310322138616,-94.03484344482422,-29.49244499206543,81.65931032213862,52.49244499206543,117.03484344482422
74,0,840,-58.87945827302479,-94.91059112548828,-29.425426483154297,81.8794582730248,52.4254264831543,117.91059112548828
75,0,831,-58.3177734150066,-94.69727325439453,-29.398849487304688,81.3177734150066,52.39884948730469,117.69727325439453
76,0,890,-58.1372892144021,-92.0050277709961,-29.379331588745117,81.1372892144021,52.37933158874512,115.0050277709961
77,0,911,-57.38247144680253,-91.4103012084961,-29.38005828857422,80.38247144680253,52.38005828857422,114.4103012084961
78,0,1141,-58.45082645600141,-94.69876861572266,-29.381786346435547,81.45082645600141,52.38178634643555,117.69876861572266
79,0,1059,-58.123925098278704,-97.3336410522461,-29.38382339477539,81.1239250982787,52.38382339477539,120.3336410522461
80,0,1049,-57.72326213593024,-89.62828063964844,-28.568496704101562,80.72326213593024,51.56849670410156,112.62828063964844
81,0,1066,-58.205045250969576,-92.57838439941406,-28.540233612060547,81.20504525096958,51.54023361206055,115.57838439941406
82,0,1104,-58.661415654680006,-90.45681762695312,-29.383825302124023,81.66141565468001,52.38382530212402,113.45681762695312
83,0,1070,-58.25990647824011,-97.38468933105469,-29.383825302124023,81.25990647824011,52.38382530212402,120.38468933105469
84,0,1156,-58.64902777490319,-93.24947357177734,-28.32425308227539,81.64902777490319,51.32425308227539,116.24947357177734
85,0,1287,-58.94237847317071,-95.60990905761719,-29.275882720947266,81.94237847317072,52.275882720947266,118.60990905761719
86,0,1386,-58.43918276865245,-93.95622253417969,-29.383825302124023,81.43918276865244,52.38382530212402,116.95622253417969
87,0,1476,-58.24714524183816,-95.68463134765625,-29.383825302124023,81.24714524183815,52.38382530212402,118.68463134765625
88,0,1592,-58.1740760276066,-95.28447723388672,-29.38382339477539,81.1740760276066,52.38382339477539,118.28447723388672
89,0,1638,-57.35738199534433,-94.86343383789062,-29.38382339477539,80.35738199534433,52.38382339477539,117.86343383789062
90,0,1742,-58.13893167405944,-95.65498352050781,-29.38382339477539,81.13893167405945,52.38382339477539,118.65498352050781
91,0,1679,-57.649723534643684,-94.07644653320312,-29.383825302124023,80.64972353464368,52.38382530212402,117.07644653320312
92,0,1528,-57.714013816174415,-96.78424072265625,-29.38382339477539,80.71401381617441,52.38382339477539,119.78424072265625
93,0,1480,-56.82174710711917,-91.78617858886719,-29.38382339477539,79.82174710711917,52.38382339477539,114.78617858886719
94,0,1497,-57.43999987534069,-92.9485855102539,-29.38382339477539,80.43999987534069,52.38382339477539,115.9485855102539
95,0,1558,-57.65267199147804,-91.89057922363281,-29.383825302124023,80.65267199147803,52.38382530212402,114.89057922363281
96,0,1530,-57.89702781976438,-94.69969940185547,-29.38382339477539,80.89702781976439,52.38382339477539,117.69969940185547
97,0,1609,-57.95000048436461,-93.9014892578125,-29.383825302124023,80.95000048436461,52.38382530212402,116.9014892578125
98,0,1596,-57.68440088711884,-93.90277099609375,-29.383825302124023,80.68440088711884,52.38382530212402,116.90277099609375
99,0,1581,-57.8660848799723,-93.90303039550781,-29.383825302124023,80.8660848799723,52.38382530212402,116.90303039550781
100,0,1601,-58.068562727433154,-93.90304565429688,-29.38382339477539,81.06856272743315,52.38382339477539,116.90304565429688
101,0,1577,-57.4636551791078,-93.90304565429688,-29.38382339477539,80.4636551791078,52.38382339477539,116.90304565429688
102,0,1523,-57.67613448144884,-93.90303802490234,-29.383825302124023,80.67613448144884,52.38382530212402,116.90303802490234
103,0,1490,-56.927255682977254,-95.2157211303711,-29.383825302124023,79.92725568297726,52.38382530212402,118.2157211303711
104,0,1554,-56.85163214645484,-93.90303802490234,-29.383825302124023,79.85163214645485,52.38382530212402,116.90303802490234
105,0,1640,-56.93856927825183,-95.31907653808594,-29.38382339477539,79.93856927825183,52.38382339477539,118.31907653808594
106,0,1703,-56.86247594791934,-93.90303802490234,-29.38382339477539,79.86247594791934,52.38382339477539,116.90303802490234
107,0,1698,-56.765262182525525,-93.90303802490234,-29.38382339477539,79.76526218252553,52.38382339477539,116.90303802490234
108,0,1738,-56.72186014155661,-93.90303802490234,-29.383825302124023,79.72186014155662,52.38382530212402,116.90303802490234
109,0,1722,-56.364215450973596,-97.13217163085938,-29.383825302124023,79.3642154509736,52.38382530212402,120.13217163085938
110,0,1773,-56.63711336246669,-93.90304565429688,-29.39593505859375,79.63711336246669,52.39593505859375,116.90304565429688
111,0,1694,-56.02237790590757,-93.90303802490234,-29.416902542114258,79.02237790590758,52.41690254211426,116.90303802490234
112,0,1687,-55.881928529270176,-93.90303802490234,-29.416902542114258,78.88192852927017,52.41690254211426,116.90303802490234
113,0,1707,-56.27160454466808,-94.36763763427734,-29.41061782836914,79.27160454466808,52.41061782836914,117.36763763427734
114,0,1699,-56.07679644130552,-94.17327880859375,-29.416902542114258,79.07679644130552,52.41690254211426,117.17327880859375
115,0,1618,-55.437167886750515,-94.37432861328125,-29.416902542114258,78.43716788675052,52.41690254211426,117.37432861328125
116,0,1490,-55.30177081831349,-94.12525939941406,-29.416902542114258,78.30177081831349,52.41690254211426,117.12525939941406
117,0,1480,-55.342636486001915,-95.38507843017578,-29.416902542114258,78.34263648600191,52.41690254211426,118.38507843017578
118,0,1517,-55.405424832197575,-95.3193359375,-29.416902542114258,78.40542483219758,52.41690254211426,118.3193359375
119,0,1445,-55.35405567657576,-94.2889175415039,-29.416902542114258,78.35405567657577,52.41690254211426,117.2889175415039
120,0,1517,-55.27610067796299,-93.95118713378906,-29.416902542114258,78.27610067796299,52.41690254211426,116.95118713378906
121,0,1524,-55.48872282373624,-94.33320617675781,-29.416902542114258,78.48872282373624,52.41690254211426,117.33320617675781
122,0,1602,-55.836001112815296,-93.96021270751953,-29.416902542114258,78.8360011128153,52.41690254211426,116.96021270751953
123,0,1609,-56.062613197407266,-93.90303802490234,-29.416902542114258,79.06261319740727,52.41690254211426,116.90303802490234
