timestamp,node_a,node_b
0.0,6,18
0.0,7,17
0.0,4,9
0.0,3,13
0.0,5,10
0.0,8,9
0.0,0,5
0.0,5,19
0.0,8,18
0.0,9,17
0.0,0,14
0.0,2,11
0.0,11,14
0.0,1,15
0.0,13,17
0.0,6,11
0.0,7,10
0.0,7,19
0.0,18,19
0.0,3,6
0.0,12,18
0.0,3,15
0.0,5,12
0.0,8,11
0.0,14,15
0.0,9,10
0.0,0,7
0.0,2,4
0.0,9,19
0.0,0,16
0.0,11,16
0.0,1,8
0.0,1,17
0.0,13,19
0.0,6,13
0.0,15,16
0.0,7,12
0.0,3,8
0.0,3,17
0.0,5,14
0.0,14,17
0.0,9,12
0.0,0,9
0.0,1,10
0.0,1,19
0.0,15,18
0.0,16,17
0.0,7,14
0.0,12,13
0.0,3,10
0.0,5,7
0.0,0,2
0.0,3,19
0.0,4,18
0.0,5,16
0.0,9,14
0.0,14,19
0.0,1,3
0.0,10,15
0.0,1,12
0.0,13,14
0.0,16,19
0.0,7,16
0.0,12,15
0.0,3,12
0.0,5,9
0.0,4,11
0.0,5,18
0.0,9,16
0.0,1,5
0.0,10,17
0.0,1,14
0.0,13,16
0.0,2,13
0.0,7,9
0.0,3,5
0.0,12,17
0.0,3,14
0.0,5,11
0.0,4,13
0.0,8,13
0.0,1,7
0.0,2,6
0.0,10,19
0.0,1,16
0.0,0,18
0.0,2,15
0.0,11,18
0.0,7,11
0.0,13,18
0.0,6,15
0.0,3,7
0.0,4,6
0.0,12,19
0.0,3,16
0.0,5,13
0.0,4,15
0.0,14,16
0.0,17,18
0.0,8,15
0.0,10,12
0.0,1,9
0.0,0,11
0.0,2,8
0.0,1,18
0.0,2,17
0.0,6,8
0.0,6,17
0.0,3,9
0.0,5,6
0.0,4,8
0.0,3,18
0.0,14,18
0.0,4,17
0.0,1,2
0.0,0,4
0.0,8,17
0.0,10,14
0.0,1,11
0.0,0,13
0.0,2,10
0.0,11,13
0.0,2,19
0.0,6,10
0.0,6,19
0.0,7,18
0.0,12,14
0.0,3,11
0.0,4,10
0.0,4,19
0.0,8,10
0.0,1,4
0.0,0,6
0.0,2,3
0.0,8,19
0.0,10,16
0.0,1,13
0.0,0,15
0.0,2,12
0.0,9,18
0.0,11,15
0.0,6,12
0.0,3,4
0.0,12,16
0.0,4,12
0.0,8,12
0.0,1,6
0.0,0,8
0.0,2,5
0.0,9,11
0.0,10,18
0.0,0,17
0.0,2,14
0.0,11,17
0.0,15,17
0.0,6,14
0.0,7,13
0.0,4,5
0.0,4,14
0.0,0,1
0.0,5,15
0.0,8,14
0.0,10,11
0.0,9,13
0.0,0,10
0.0,2,7
0.0,0,19
0.0,2,16
0.0,11,19
0.0,6,7
0.0,15,19
0.0,6,16
0.0,16,18
0.0,7,15
0.0,4,7
0.0,4,16
0.0,5,8
0.0,0,3
0.0,5,17
0.0,8,16
0.0,10,13
0.0,9,15
0.0,0,12
0.0,2,9
0.0,11,12
0.0,17,19
0.0,2,18
0.0,13,15
0.0,6,9
0.0,7,8
1.0,6,18
1.0,7,17
1.0,4,9
1.0,3,13
1.0,5,10
1.0,8,9
1.0,0,5
1.0,5,19
1.0,8,18
1.0,9,17
1.0,0,14
1.0,2,11
1.0,11,14
1.0,1,15
1.0,13,17
1.0,6,11
1.0,7,10
1.0,7,19
1.0,18,19
1.0,3,6
